latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.67082,-90.1684,303.88,2.49,1.52,2025-04-07,1635,T,57,6.1NRT,285.75,20.98,D
19.10275,-102.9062,352.72,1.18,1.08,2025-04-07,1639,T,96,6.1NRT,312.19,68.87,D
38.09468,-97.16109,311.23,1.22,1.1,2025-04-07,1635,T,68,6.1NRT,293.96,10.22,D
43.10662,-97.70975,301.43,1.03,1.01,2025-04-07,1635,T,47,6.1NRT,286.25,3.74,D
19.10104,-102.89533,345.83,1.18,1.08,2025-04-07,1639,T,92,6.1NRT,311.92,51.27,D
38.01987,-96.73723,307.14,1.28,1.12,2025-04-07,1635,T,61,6.1NRT,293.75,7.23,D
19.07177,-102.83303,321.72,1.19,1.09,2025-04-07,1639,T,68,6.1NRT,307.16,10.46,D
43.1047,-97.69756,304.43,1.03,1.01,2025-04-07,1635,T,59,6.1NRT,286.25,5.53,D
38.01736,-96.7232,314.95,1.29,1.13,2025-04-07,1635,T,74,6.1NRT,293.63,15.49,D
42.76522,-96.40975,321.1,1.12,1.06,2025-04-07,1635,T,81,6.1NRT,285.39,22.12,D
19.13399,-103.76534,318.55,1.08,1.04,2025-04-07,1639,T,59,6.1NRT,307.23,5.35,D
38.10769,-97.40644,312.92,1.19,1.09,2025-04-07,1635,T,70,6.1NRT,294.84,11.08,D
42.35116,-94.81731,300.82,1.32,1.14,2025-04-07,1635,T,42,6.1NRT,284.28,5.51,D
19.18493,-104.53399,317.81,1.02,1.01,2025-04-07,1639,T,64,6.1NRT,302.3,8.78,D
37.99293,-96.82469,305.68,1.27,1.12,2025-04-07,1635,T,47,6.1NRT,293.99,5.08,D
42.86979,-97.92224,332.26,1.02,1.01,2025-04-07,1635,T,88,6.1NRT,287.55,32.93,D
19.00717,-103.35874,341.9,1.12,1.06,2025-04-07,1639,T,90,6.1NRT,305.6,45.7,D
37.81113,-95.98621,305.23,1.42,1.18,2025-04-07,1635,T,59,6.1NRT,293.88,6.76,D
42.8679,-97.91014,325.39,1.03,1.01,2025-04-07,1635,T,84,6.1NRT,287.1,24.18,D
19.00554,-103.3481,332.22,1.13,1.06,2025-04-07,1639,T,83,6.1NRT,305.2,28.33,D
42.59205,-97.40203,315.5,1.05,1.03,2025-04-07,1635,T,76,6.1NRT,286.38,14.36,D
18.83973,-102.78483,323.82,1.21,1.09,2025-04-07,1639,T,61,6.1NRT,308.03,13.8,D
37.7737,-95.78407,311.83,1.46,1.19,2025-04-07,1635,T,72,6.1NRT,292.82,15.15,D
18.83624,-102.7912,342.41,1.21,1.09,2025-04-07,1639,T,91,6.1NRT,310.71,47.54,D
42.59005,-97.38964,305.45,1.06,1.03,2025-04-07,1635,T,61,6.1NRT,285.89,6.63,D
37.77074,-95.76816,306.51,1.46,1.19,2025-04-07,1635,T,57,6.1NRT,291.99,8.6,D
18.1131,-99.33709,314.07,2.15,1.42,2025-04-07,1639,T,22,6.1NRT,300.65,14.26,D
37.9711,-97.21584,306.42,1.22,1.1,2025-04-07,1635,T,57,6.1NRT,292.77,6.09,D
42.22816,-95.94144,303.11,1.19,1.08,2025-04-07,1635,T,55,6.1NRT,283.59,6.8,D
37.76462,-96.08083,312.86,1.4,1.17,2025-04-07,1635,T,68,6.1NRT,294.19,13.27,D
42.49638,-98.08989,301.06,1.02,1.01,2025-04-07,1635,T,44,6.1NRT,284.41,5.06,D
37.76175,-96.06552,316.17,1.4,1.17,2025-04-07,1635,T,76,6.1NRT,293.55,17.85,D
41.53255,-93.25288,301.8,1.66,1.27,2025-04-07,1635,T,49,6.1NRT,283.52,10.04,D
37.76505,-96.07028,318.86,1.4,1.17,2025-04-07,1635,T,79,6.1NRT,294.34,21.85,D
41.54325,-93.25495,300.95,1.66,1.27,2025-04-07,1635,T,43,6.1NRT,283.66,9.03,D
37.90491,-96.97083,334.6,1.26,1.11,2025-04-07,1635,T,89,6.1NRT,294.88,44.83,D
41.81683,-95.72696,300.54,1.23,1.1,2025-04-07,1635,T,38,6.1NRT,284.51,4.95,D
37.84328,-96.62177,320.62,1.31,1.14,2025-04-07,1635,T,69,6.1NRT,292.57,22.66,D
41.92086,-97.17143,305.33,1.09,1.04,2025-04-07,1635,T,61,6.1NRT,287.72,7.04,D
37.84075,-96.60756,345.74,1.31,1.14,2025-04-07,1635,T,94,6.1NRT,293.62,75.99,D
41.9188,-97.15891,313.62,1.09,1.04,2025-04-07,1635,T,74,6.1NRT,286.09,13.68,D
37.80441,-96.40465,318.54,1.35,1.15,2025-04-07,1635,T,78,6.1NRT,293.39,21.06,D
40.20573,-90.05776,303.87,2.78,1.59,2025-04-07,1635,T,57,6.1NRT,286.79,23.76,D
37.83094,-96.61037,319.06,1.31,1.14,2025-04-07,1635,T,62,6.1NRT,291.96,20.45,D
40.79284,-93.152,311.65,1.76,1.3,2025-04-07,1635,T,72,6.1NRT,285.33,26.7,D
40.7817,-93.15582,338.44,1.76,1.3,2025-04-07,1635,T,91,6.1NRT,285.25,95.31,D
37.79448,-96.40746,321.77,1.35,1.15,2025-04-07,1635,T,81,6.1NRT,292.81,26.2,D
40.77766,-93.1362,300.73,1.76,1.3,2025-04-07,1635,T,27,6.1NRT,283.75,9.98,D
37.73936,-96.84973,304.31,1.28,1.12,2025-04-07,1635,T,53,6.1NRT,293.12,5.54,D
40.8424,-93.86475,302.61,1.6,1.24,2025-04-07,1635,T,53,6.1NRT,284.46,12.42,D
